"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2026-03-10"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,"Non-board wheat (except durum wheat) (Terminated)","89.61","89.33","94.58","97.00","99.84","98.69","95.41","93.88","85.27","93.05","95.27","98.99","89.72","90.72","93.28","96.28","91.72","75.68","98.97","105.85","121.72","125.09","130.32","129.77","139.78","135.65","127.68","129.10","141.44","147.83","163.55","142.87","149.57","150.91","153.90","168.89","169.76","167.24","167.15","160.19","158.28","153.11","129.97","128.11","135.49","137.41","134.55","131.75","126.93","129.30","130.83","134.24","140.60","143.23","143.44","131.86","112.06","111.28","98.11","94.77","85.65","83.93","82.39","83.46","80.04","85.52","83.85","83.54","81.69","81.58","82.71","84.21","86.32","86.87","85.78","88.33","89.58","94.41","97.45","94.96","100.09","122.48","130.48","137.83","141.12","147.32","154.56","156.18","159.49","160.08","160.12","157.13","172.05","181.84","167.56","178.66","189.60","206.03","236.86","252.09","288.49","283.80","298.28","242.49","188.56","186.22","178.79","177.53","194.07","172.82","177.90","175.51","173.05","180.48","181.00","178.00","168.77","158.80","163.81","163.14","154.52","152.10","150.06","151.45","146.20","147.55","149.26","151.79","153.85","154.85","155.14","161.39","166.53","170.09","178.04","187.53","192.85","193.86","198.98","191.22","194.66","198.71","198.80","201.60","194.62","194.34","194.82","202.09","208.34","207.88","206.11","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","86.02","85.48","92.72","88.98","87.69","79.82","84.63","79.44","83.47","85.78","86.43","92.86","98.66","98.83","96.75","97.09","103.49","103.04","111.46","117.53","135.13","152.83","153.21","165.80","176.23","191.72","199.22","202.16","211.48","218.74","195.03","206.68","166.23","193.86","194.16","232.98","236.51","253.94","244.68","221.12","201.15","214.70","190.00","175.00","170.00","160.00","150.00","130.00","109.92","116.15","114.42","113.78","113.51","114.19","113.46","108.18","111.76","110.78","118.01","115.03","114.99","118.47","115.42","113.84","113.09","111.90","111.89","106.78","111.44","109.52","105.02","113.78","119.30","117.81","114.84","112.88","103.44","112.90","111.35","108.73","109.94","113.48","129.21","142.26","149.01","152.56","163.45","165.32","165.29","167.44","170.40","163.94","147.06","143.79","143.94","154.86","161.83","171.29","172.09","170.31","177.41","189.78","192.55","197.69","202.61","198.42","206.57","179.34","171.94","168.08","172.20","172.67","170.28","174.79","173.39","171.11","150.48","159.30","175.71","150.27","156.19","153.72","149.18","144.91","132.42","138.57","146.30","147.11","153.35","155.69","172.38","180.36","192.23","202.12","208.43","200.23","212.83","210.43","212.11","204.99","195.84","194.55","197.48","194.12","190.65","192.61","192.18","203.91","184.10","194.91","198.89","186.15","212.15","..","..","..","230.10","238.10","237.43","233.11","221.81","216.95","220.72","209.80","210.10","205.68","194.32","190.60","186.85","180.69","176.99","161.72","164.57","160.43","160.89","160.31","168.67","170.57","..","179.77","190.26","187.36","..","..","..","..","201.40","..","..","..","..","..","..","..","..","..","..","..","189.10","180.79","178.70","180.02","188.36","188.83","..","..","..","196.64","201.08","194.21","192.74","197.93","181.30","..","184.03","..","210.48","192.08","194.79","203.76","192.33","..","191.46","184.36","..","..","204.37","201.68","..","213.54","..","..","..","230.05","233.71","235.60","218.75","203.76","208.72","201.76","204.31","212.73","209.15","218.71","224.98","232.29","239.31","243.56","209.76","204.40","204.69","208.67","224.45","238.78","254.28","260.26","255.23","260.44","259.98","286.12","265.84","270.52","303.74","317.92","462.26","460.45","551.02","489.59","558.82","534.69","486.21","397.41","364.12","366.92","353.33","347.47","333.87","328.29","316.66","287.55","274.96","267.81","277.31","291.48","321.44","317.85","326.83","322.73","324.33","320.58","317.45","319.92","324.72","315.13","307.00","311.31","298.44","286.29","287.46","290.29","296.00","310.48","304.73","290.48","292.27","298.17","318.75","311.28","272.85","289.01","266.54","288.04","272.77"
,"Barley 3 4","87.82","81.36","84.21","84.77","81.02","80.84","84.87","88.69","85.98","93.25","104.15","110.34","112.06","105.41","112.18","111.05","117.92","119.22","133.91","129.55","130.44","133.99","132.17","139.14","154.10","141.43","137.59","127.47","145.01","144.40","163.78","171.14","163.70","168.10","170.77","162.89","176.68","160.78","154.83","152.49","146.43","135.66","117.06","112.65","109.34","107.39","111.94","114.56","121.21","113.34","117.05","125.29","129.38","131.42","124.02","109.15","100.24","93.75","98.97","95.68","93.67","91.33","91.39","92.53","94.18","93.65","92.50","91.14","88.49","90.64","90.43","91.50","95.40","94.10","93.34","92.26","96.45","92.06","92.27","91.20","100.30","119.57","123.95","130.78","134.49","142.69","144.85","147.16","154.36","160.78","163.41","159.69","164.01","164.56","169.02","178.88","188.87","192.65","195.07","202.60","211.63","213.03","217.41","205.40","189.17","191.26","193.32","191.25","191.10","184.73","166.81","150.51","144.52","146.42","149.02","136.98","140.26","138.44","142.72","141.68","145.25","137.08","132.13","131.17","129.82","127.15","131.38","134.14","137.71","141.03","150.02","159.95","163.16","161.47","170.86","174.70","177.07","179.00","176.98","168.27","170.37","177.59","184.95","190.59","187.31","188.33","191.24","202.02","208.98","217.02","222.58","221.43","213.58","225.93","243.53","248.87","256.50","286.63","271.09","267.33","272.12","303.89","245.32","209.67","199.46","188.32","188.22","180.36","172.89","169.18","163.48","182.40","179.91","167.72","164.90","166.57","152.81","166.49","185.77","210.37","201.33","188.04","209.58","193.98","195.40","199.17","219.49","227.75","247.58","245.86","245.65","251.72","246.94","245.15","221.05","228.13","228.11","198.82","214.28","193.35","210.31","184.58","207.94","212.80","202.05","217.95","207.85","167.36","172.49","174.00","179.05","193.59","216.80","202.00","195.35","198.41","210.51","213.76","206.72","214.17","217.19","218.44","224.15","227.76","204.00","204.63","208.83","210.18","225.25","237.34","233.25","228.88","245.98","240.87","242.81","226.44","216.50","205.69","208.43","212.57","206.90","219.59","209.14","219.81","217.15","214.44","216.24","216.06","204.14","210.74","220.44","228.41","241.25","245.65","258.10","266.68","283.40","282.86","294.11","305.92","272.79","282.72","298.32","323.55","350.58","374.25","384.46","385.09","405.71","411.08","403.57","348.77","342.95","371.41","386.64","397.15","404.37","395.51","393.11","394.68","399.42","399.54","397.43","371.66","320.94","327.27","332.90","317.83","299.59","282.00","270.41","272.97","279.14","283.12","279.47","258.31","233.46","247.01","248.35","252.96","269.58","275.15","271.96","273.93","266.60","269.46","278.21","250.53","240.70","245.32","249.97","249.39","251.81"
,"Soybeans","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Canola (including rapeseed)","242.78","235.46","238.30","243.87","236.30","226.69","229.00","228.24","230.95","223.74","232.67","236.32","231.94","236.61","255.97","266.29","267.77","278.00","314.80","312.33","297.61","298.79","311.30","317.46","320.81","319.08","326.87","311.25","323.87","342.32","385.66","372.60","382.98","390.00","372.22","375.27","371.86","372.41","375.88","356.11","352.81","339.78","330.11","317.23","331.09","342.82","350.78","353.59","354.13","366.63","381.41","384.46","385.16","390.58","383.87","363.74","342.01","329.68","308.40","306.45","275.05","263.04","272.20","282.57","284.70","292.31","299.14","277.93","254.92","246.94","245.04","239.46","236.74","243.06","240.98","247.79","262.41","267.10","272.82","275.15","271.41","291.09","315.46","338.01","339.07","350.14","352.98","353.98","362.58","370.80","376.83","382.62","388.44","384.99","395.84","412.40","431.85","471.02","491.77","513.25","527.23","563.90","552.52","526.54","477.93","444.97","462.53","450.05","443.90","446.33","440.20","439.17","448.05","456.49","459.60","458.12","430.03","416.13","411.57","405.61","404.80","389.04","390.50","386.13","387.46","392.05","421.50","438.95","437.37","444.77","436.33","474.67","510.93","505.40","526.79","540.09","549.74","560.38","559.93","555.07","524.18","509.26","510.34","510.34","516.63","524.54","540.98","562.95","..","586.22","595.83","593.43","569.33","563.94","569.65","578.71","600.30","611.97","618.98","630.18","640.65","638.68","614.50","541.88","507.75","501.61","502.70","486.18","470.29","449.82","436.88","439.38","451.69","442.32","447.99","448.09","429.21","421.65","432.21","433.47","440.05","438.52","431.71","449.32","446.53","458.39","475.11","478.56","463.93","492.46","461.75","465.03","467.83","466.85","467.36","473.81","483.99","488.91","483.55","464.91","457.43","462.59","471.10","479.00","482.78","492.53","499.75","506.72","511.83","514.05","517.73","511.60","476.67","481.86","485.43","491.14","493.80","490.42","496.66","507.28","516.82","520.12","516.65","508.03","484.82","477.07","472.02","473.39","466.19","469.01","470.83","462.92","443.75","438.61","428.75","416.44","422.40","433.48","434.03","435.17","442.73","447.29","442.80","443.58","448.65","446.12","459.16","461.50","468.23","472.93","490.48","509.04","531.03","557.13","593.42","647.22","673.39","714.87","771.70","746.50","661.62","693.35","730.68","797.78","850.49","882.03","978.34","1,046.78","1,043.08","1,077.97","1,011.26","951.86","839.16","851.26","876.89","879.66","871.27","848.48","821.90","803.30","774.09","740.16","772.94","774.83","751.05","727.24","706.58","699.45","655.33","612.17","602.72","649.30","643.78","647.82","644.66","608.88","594.74","599.32","609.04","605.84","608.55","617.42","623.46","630.17","652.14","672.24","682.65","676.39","621.92","609.13","614.77","614.73","605.98"
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","67.15","64.74","68.73","75.23","75.13","73.35","74.45","74.01","71.11","72.06","70.61","69.12","69.32","73.69","80.43","80.40","81.64","78.63","79.44","75.29","73.01","69.84","62.25","61.17","56.96","63.25","65.62","61.21","64.18","60.30","53.74","54.87","53.11","52.55","49.28","52.07","54.54","56.98","56.55","57.97","62.30","50.91","29.30","21.89","38.40","44.27","60.19","39.31","56.38","51.42","64.20","59.25","56.99","55.06","52.73","48.93","58.23","55.47","57.07","57.93","55.90","57.22","58.16","52.88","51.96","49.20","48.20","47.70","42.15","39.94","40.62","40.44","39.70","39.12","39.66","40.06","47.15","46.53","50.84","52.32","45.17","46.63","37.57","33.04","35.48","37.53","44.65","48.41","50.24","50.69","50.77","50.13","46.81","42.52","37.79","38.42","37.83","42.74","49.07","51.85","53.84","49.57","56.66","55.94","53.26","48.63","40.91","41.26","41.92","48.90","58.99","55.15","61.63","57.93","59.76","54.34","52.12","50.26","45.41","43.51","45.56","49.35","58.22","62.91","64.94","63.44","64.74","67.50","65.33","65.40","64.03","64.24","63.29","67.36","75.19","74.55","77.22","75.56","76.94","77.91","75.24","76.44","72.75","72.61","77.10","78.56","77.05","77.56","85.67","84.98","82.42","89.01","87.53","81.06","79.26","80.32","74.70","81.88","79.34","80.89","81.42","85.20","83.50","90.50","91.36","84.26","77.36","81.99","84.18","95.28","97.95","106.46","112.78","115.02","121.20","133.51","135.58","132.90","129.71","139.81","135.54","138.27","142.19","154.86","159.20","159.77","148.90","156.24","148.52","132.25","119.87","119.23","114.21","118.71","113.51","111.64","115.96","113.07","110.09","115.49","109.66","103.13","93.89","105.91","108.77","105.76","110.02","122.37","127.19","118.25","111.56","107.94","103.71","99.65","97.49","103.01","95.55","97.67","98.95","101.78","104.80","101.73","112.58","110.99","105.73","107.13","102.89","108.97","109.23","101.73","104.81","112.33","108.46","104.91","115.07","109.68","105.83","102.97","102.31","105.04","109.34","104.53","102.81","92.19","96.68","103.03","100.35","106.48","101.82","100.22","99.22","109.16","100.80","108.20","102.72","112.09","122.01","117.67","118.98","117.29","122.59","118.43","118.53","127.11","111.39","110.19","121.09","124.04","127.53","134.76","140.71","143.52","142.80","140.45","137.60","136.24","133.96","140.34","149.15","164.90","171.06","183.85","193.27","194.44","191.91","189.72","186.98","171.89","166.34","164.98","179.02","190.22","205.07","211.74","220.34","220.55","213.74","207.04","205.25","207.19","212.05","213.56","216.00","230.21","246.78","255.07","264.38","273.56","281.09","263.09","257.92","254.26","253.42"
,"Hogs 6","71.97","80.05","84.01","97.94","100.78","99.93","97.29","90.12","84.48","82.90","75.69","81.10","71.91","74.45","91.44","97.15","101.68","104.60","106.41","103.98","95.90","86.87","75.28","68.40","76.24","83.54","77.43","68.02","66.61","70.17","80.54","76.31","52.40","66.22","57.08","61.10","62.88","69.13","54.07","65.15","73.37","79.83","76.73","76.77","69.72","68.58","60.38","59.62","61.24","73.91","78.30","80.25","95.36","100.73","99.75","98.29","89.51","90.97","84.15","87.07","84.64","83.17","81.71","80.74","87.56","80.25","76.84","79.76","76.84","74.89","69.52","68.06","65.15","64.66","67.58","62.71","71.49","77.82","77.34","75.87","75.39","70.02","68.56","67.10","67.10","72.46","71.97","70.51","75.39","74.41","71.49","72.46","66.12","58.81","52.96","53.45","52.13","56.52","57.50","57.98","70.17","72.12","71.64","79.33","76.40","72.42","69.64","66.64","67.75","71.34","71.96","70.07","68.96","65.17","65.75","58.14","55.89","55.94","58.41","63.26","66.99","67.49","69.21","70.70","79.36","76.24","75.56","77.80","78.26","72.13","63.69","67.00","70.04","76.34","77.08","81.19","81.69","82.87","84.76","90.09","82.18","86.22","81.53","79.47","77.64","80.35","79.89","76.47","74.91","84.61","90.98","86.16","70.24","72.80","76.35","74.96","76.56","80.64","73.50","74.72","81.49","90.16","96.66","94.10","89.20","88.12","82.99","78.81","78.36","83.89","102.76","124.07","113.91","110.69","123.40","120.01","99.97","109.35","95.66","90.70","83.35","79.66","75.17","71.17","80.88","91.60","89.45","92.98","89.46","87.68","80.83","68.96","71.98","81.55","80.93","78.43","86.16","93.23","94.36","82.80","75.22","64.37","60.79","64.91","74.08","84.81","87.47","79.34","82.66","96.58","104.08","96.83","77.98","67.65","78.42","74.92","77.00","83.52","78.50","67.44","76.49","88.70","96.37","76.86","62.78","79.39","75.19","69.56","71.36","71.89","70.96","96.21","103.00","100.40","88.89","98.12","79.59","75.67","76.28","73.73","74.40","75.27","74.94","75.42","74.49","71.34","69.72","72.41","75.37","90.78","88.05","78.77","75.34","83.94","101.61","115.98","120.27","126.70","124.60","122.61","113.31","103.29","92.21","87.91","90.43","101.84","115.76","117.04","119.69","122.99","131.12","138.61","123.99","119.77","115.02","95.37","95.38","87.13","103.27","95.85","97.56","106.01","119.13","127.00","112.90","106.64","99.95","92.26","87.48","92.76","103.09","110.73","115.83","116.39","113.49","117.34","107.94","106.78","112.42","111.30","110.92","112.46","117.25","114.96","114.40","122.92","133.78","135.66","131.73","128.29","117.60","108.32","106.81"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act




Footnotes:
1,"Commodity prices are collected at point of first transaction, where fees deducted before a producer is paid are excluded (for example, storage, transportation and administration costs), but any bonuses and premiums that can be attributed to specific commodities are included. Commodity-specific program payments are not included in the price."
2,"Commodity names have been adjusted to align with the <a href="http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1196978">Variant of North American Product Classification System (NAPCS) Canada 2017 Version 2.0 - Agricultural goods</a>."
3,"For Manitoba, Saskatchewan, Alberta and British Columbia, prior to the 2012-2013 crop year, barley prices included only non-board barley."
4,"Barley prices include the weighted average prices of barley for animal feed and barley for malt and other human consumption."
5,"Live weight prices."
6,"Carcass weight prices."



"How to cite: Statistics Canada. Table 32-10-0077-01  Farm product prices, crops and livestock"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210007701
